model,optimizer,epoch,train_loss,val_acc_%,epoch_time_sec,cum_time_sec
resnet,adam,1,2.5328390306356003,9.97,26.9808030128479,26.9808030128479
resnet,adam,2,2.135260370312905,41.79,12.961436033248901,39.9422390460968
resnet,adam,3,1.84448512719602,51.17,12.879651069641113,52.821890115737915
resnet,adam,4,1.6993473330322577,56.04,15.066981077194214,67.88887119293213
resnet,adam,5,1.58388386453901,54.7,15.891376972198486,83.78024816513062
resnet,adam,6,1.5049830918409386,63.13,21.228079557418823,105.00832772254944
resnet,adam,7,1.4427901214482832,66.31,25.93914246559143,130.94747018814087
resnet,adam,8,1.3940162342421862,70.97,22.43848729133606,153.38595747947693
resnet,adam,9,1.3516496371249764,72.98,20.47423028945923,173.86018776893616
resnet,adam,10,1.3146043821256987,72.77,27.875950813293457,201.73613858222961
resnet,adam,11,1.2728255573584109,70.34,24.29870629310608,226.0348448753357
resnet,adam,12,1.2388868210267048,71.81,23.694655895233154,249.72950077056885
resnet,adam,13,1.2097971196077308,78.03,19.951897382736206,269.68139815330505
resnet,adam,14,1.187087776709576,75.74,24.594477891921997,294.27587604522705
resnet,adam,15,1.1676855841461493,77.25,24.100109815597534,318.3759858608246
resnet,adam,16,1.142156221428696,82.93,18.975382089614868,337.35136795043945
resnet,adam,17,1.1252648660114832,76.8,25.768767595291138,363.1201355457306
resnet,adam,18,1.1044473112845907,80.92,28.75212574005127,391.87226128578186
resnet,adam,19,1.0876905042297986,82.44,25.182448625564575,417.05470991134644
resnet,adam,20,1.0725496447816187,82.22,26.957822799682617,444.01253271102905
resnet,adam,21,1.051796283040728,83.09,24.45368242263794,468.466215133667
resnet,adam,22,1.0474269414434627,81.76,27.82319450378418,496.2894096374512
resnet,adam,23,1.0308164382467464,85.91,23.48082685470581,519.770236492157
resnet,adam,24,1.0185814572840322,84.79,23.0780029296875,542.8482394218445
resnet,adam,25,1.0116931832566554,85.76,21.091734647750854,563.9399740695953
resnet,adam,26,0.999817140248357,85.96,21.37474036216736,585.3147144317627
resnet,adam,27,0.9931363195789104,87.91,25.663594007492065,610.9783084392548
resnet,adam,28,0.9756556798000725,87.86,25.548269748687744,636.5265781879425
resnet,adam,29,0.9643511711334696,85.29,22.604347467422485,659.130925655365
resnet,adam,30,0.9573748951055565,88.97,21.124470233917236,680.2553958892822
resnet,adam,31,0.9499512801364977,86.78,22.233444929122925,702.4888408184052
resnet,adam,32,0.9416565165227774,87.62,20.860767602920532,723.3496084213257
resnet,adam,33,0.9343924498071476,88.66,21.69203472137451,745.0416431427002
resnet,adam,34,0.9278783129186047,87.51,27.329682111740112,772.3713252544403
resnet,adam,35,0.9206975224066754,89.25,27.288127899169922,799.6594531536102
resnet,adam,36,0.9093424799490948,89.28,24.14932084083557,823.8087739944458
resnet,adam,37,0.9022464958988891,88.78,22.86254358291626,846.6713175773621
